iter	Passed	Remaining
419	2160	2983
420	2162	2974
421	2165	2965
422	2167	2956
423	2169	2946
424	2177	2945
425	2178	2935
426	2187	2935
427	2204	2945
428	2206	2936
429	2210	2929
430	2228	2942
431	2230	2933
432	2241	2934
433	2243	2925
434	2245	2916
435	2247	2907
436	2249	2898
437	2251	2888
438	2253	2880
439	2258	2873
440	2272	2880
441	2274	2871
442	2276	2862
443	2278	2853
444	2280	2844
445	2282	2835
446	2284	2826
447	2293	2826
448	2295	2817
449	2297	2808
450	2311	2813
451	2313	2805
452	2315	2796
453	2320	2790
454	2333	2795
455	2337	2788
456	2339	2779
457	2341	2770
458	2343	2761
459	2345	2752
460	2347	2744
461	2349	2735
462	2354	2730
463	2356	2721
464	2360	2715
465	2362	2706
466	2364	2698
467	2366	2689
468	2368	2681
469	2370	2673
470	2373	2665
471	2375	2657
472	2379	2651
473	2383	2645
474	2385	2636
475	2387	2628
476	2389	2620
477	2403	2624
478	2407	2618
479	2411	2612
480	2413	2604
481	2431	2613
482	2433	2604
483	2455	2618
484	2460	2612
485	2462	2604
486	2464	2596
487	2468	2590
488	2470	2581
489	2472	2573
490	2477	2568
491	2480	2560
492	2499	2570
493	2501	2562
494	2503	2554
495	2508	2548
496	2510	2540
497	2512	2532
498	2514	2524
499	2516	2516
500	2520	2510
501	2522	2502
502	2529	2499
503	2531	2491
504	2533	2483
505	2535	2475
506	2537	2467
507	2539	2459
508	2543	2453
509	2546	2446
510	2548	2438
511	2558	2438
512	2560	2431
513	2563	2423
514	2565	2415
515	2579	2419
516	2581	2411
517	2583	2403
518	2585	2396
519	2594	2395
520	2596	2387
521	2601	2381
522	2604	2375
523	2609	2370
524	2611	2363
525	2615	2356
526	2637	2366
527	2639	2359
528	2642	2352
529	2652	2352
530	2662	2351
531	2664	2343
532	2667	2336
533	2669	2329
534	2671	2321
535	2673	2313
536	2675	2306
537	2677	2298
538	2686	2297
539	2690	2291
540	2692	2284
541	2696	2278
542	2698	2270
543	2700	2263
544	2702	2256
545	2716	2259
546	2735	2265
547	2737	2257
548	2749	2259
549	2751	2251
550	2754	2244
551	2784	2259
552	2794	2258
553	2799	2253
554	2801	2246
555	2840	2268
556	2844	2262
557	2850	2257
558	2852	2250
559	2856	2244
560	2858	2237
561	2863	2231
562	2865	2224
563	2867	2216
564	2871	2210
565	2873	2203
566	2875	2195
567	2877	2188
568	2881	2182
569	2908	2193
570	2914	2189
571	2916	2182
572	2920	2176
573	2922	2169
574	2936	2170
575	2942	2165
576	2944	2158
577	2953	2156
578	2955	2149
579	2957	2141
580	2960	2134
581	2962	2128
582	2964	2120
583	2979	2122
584	2991	2122
585	2993	2114
586	3003	2113
587	3005	2105
588	3025	2111
589	3033	2108
590	3049	2110
591	3074	2118
592	3076	2111
593	3082	2107
594	3085	2100
595	3087	2092
596	3089	2085
597	3091	2078
598	3094	2071
599	3096	2064
600	3098	2057
601	3100	2049
602	3124	2057
603	3128	2050
604	3138	2049
605	3141	2042
606	3150	2040
607	3155	2034
608	3157	2027
609	3167	2024
610	3169	2017
611	3171	2010
612	3173	2003
613	3175	1996
614	3177	1989
615	3179	1982
616	3184	1976
617	3190	1972
618	3194	1966
619	3199	1960
620	3202	1954
621	3204	1947
622	3206	1940
623	3208	1933
624	3210	1926
625	3217	1922
626	3222	1916
627	3224	1910
628	3226	1902
629	3230	1897
630	3232	1890
631	3234	1883
632	3236	1876
633	3238	1869
634	3241	1863
635	3243	1856
636	3255	1855
637	3257	1848
638	3259	1841
639	3263	1835
640	3265	1828
641	3267	1821
642	3269	1815
643	3273	1809
644	3289	1810
645	3292	1804
646	3294	1797
647	3296	1790
648	3299	1784
649	3302	1778
650	3305	1771
651	3310	1766
652	3312	1760
653	3314	1753
654	3340	1759
655	3342	1752
656	3344	1745
657	3346	1739
658	3348	1732
659	3350	1725
660	3353	1719
661	3355	1713
662	3357	1706
663	3359	1699
664	3361	1693
665	3377	1693
666	3379	1687
667	3381	1680
668	3388	1676
669	3391	1670
670	3393	1664
671	3406	1662
672	3410	1656
673	3423	1655
674	3425	1649
675	3458	1657
676	3471	1656
677	3489	1657
678	3525	1666
679	3533	1662
680	3535	1656
681	3537	1649
682	3539	1642
683	3541	1635
684	3545	1630
685	3549	1624
686	3550	1617
687	3553	1611
688	3555	1604
689	3557	1598
690	3565	1594
691	3601	1603
692	3604	1596
693	3606	1590
694	3608	1583
695	3610	1576
696	3614	1571
697	3616	1564
698	3632	1564
699	3634	1557
700	3636	1551
701	3638	1544
702	3640	1538
703	3645	1532
704	3647	1526
705	3649	1519
706	3664	1518
707	3666	1512
708	3668	1505
709	3671	1499
710	3673	1492
711	3675	1486
712	3680	1481
713	3684	1476
714	3704	1476
715	3708	1471
716	3714	1466
717	3716	1459
718	3718	1453
719	3743	1455
720	3745	1449
721	3748	1443
722	3750	1436
723	3752	1430
724	3755	1424
725	3757	1418
726	3759	1411
727	3762	1405
728	3769	1401
729	3771	1394
730	3789	1394
731	3794	1389
732	3796	1382
733	3799	1376
734	3805	1372
735	3809	1366
736	3811	1360
737	3813	1353
738	3825	1350
739	3827	1344
740	3829	1338
741	3834	1333
742	3838	1327
743	3848	1324
744	3852	1318
745	3855	1312
746	3865	1309
747	3867	1302
748	3869	1296
749	3871	1290
750	3873	1284
751	3875	1278
752	3904	1280
753	3907	1274
754	3914	1270
755	3916	1263
756	3924	1259
757	3936	1256
758	3938	1250
759	3952	1248
760	3988	1252
761	4003	1250
762	4015	1247
763	4018	1241
764	4021	1235
765	4027	1230
766	4035	1225
767	4037	1219
768	4048	1216
769	4050	1209
770	4052	1203
771	4054	1197
772	4069	1195
773	4074	1189
774	4103	1191
775	4114	1187
776	4116	1181
777	4118	1175
778	4125	1170
779	4131	1165
780	4133	1159
781	4135	1152
782	4142	1147
783	4164	1147
784	4168	1141
785	4179	1137
786	4182	1131
787	4195	1128
788	4230	1131
789	4235	1125
790	4238	1119
791	4240	1113
792	4242	1107
793	4244	1101
794	4255	1097
795	4265	1093
796	4267	1087
797	4272	1081
798	4277	1076
799	4279	1069
800	4284	1064
801	4300	1061
802	4302	1055
803	4304	1049
804	4306	1043
805	4309	1037
806	4314	1031
807	4316	1025
808	4323	1020
809	4325	1014
810	4327	1008
811	4330	1002
812	4332	996
813	4334	990
814	4339	985
815	4342	979
816	4344	973
817	4346	967
818	4348	960
819	4350	954
820	4354	949
821	4356	943
822	4359	937
823	4361	931
824	4363	925
825	4365	919
826	4370	914
827	4373	908
828	4375	902
829	4377	896
830	4379	890
831	4381	884
832	4389	880
833	4391	874
834	4393	868
835	4395	862
836	4400	856
837	4406	851
838	4410	846
839	4415	840
840	4418	835
841	4421	829
842	4423	823
843	4425	818
844	4428	812
845	4432	806
846	4435	801
847	4437	795
848	4439	789
849	4441	783
850	4444	778
851	4448	772
852	4457	768
853	4459	762
854	4467	757
855	4469	751
856	4473	746
857	4476	740
858	4481	735
859	4483	729
860	4485	724
861	4487	718
862	4490	712
863	4495	707
864	4499	702
865	4503	696
866	4505	691
867	4512	686
868	4519	681
869	4522	675
870	4524	670
871	4528	664
872	4530	659
873	4556	656
874	4561	651
875	4563	645
876	4565	640
877	4568	634
878	4569	629
879	4572	623
880	4576	618
881	4578	612
882	4580	606
883	4582	601
884	4584	595
885	4586	590
886	4590	584
887	4592	579
888	4599	574
889	4604	569
890	4606	563
891	4608	557
892	4612	552
893	4624	548
894	4626	542
895	4630	537
896	4633	531
897	4639	527
898	4656	523
899	4663	518
900	4665	512
901	4667	507
902	4669	501
903	4671	496
904	4673	490
905	4677	485
906	4679	479
907	4682	474
908	4684	468
909	4686	463
910	4688	458
911	4690	452
912	4694	447
913	4700	442
914	4702	436
915	4704	431
916	4709	426
917	4711	420
918	4713	415
919	4715	410
920	4718	404
921	4720	399
922	4725	394
923	4727	388
924	4729	383
925	4734	378
926	4768	375
927	4770	370
928	4787	365
929	4790	360
930	4796	355
931	4800	350
932	4802	344
933	4805	339
934	4810	334
935	4812	329
936	4816	323
937	4867	321
938	4870	316
939	4887	311
940	4904	307
941	4918	302
942	4935	298
943	4937	292
944	4946	287
945	4949	282
946	4986	279
947	4994	273
948	4996	268
949	4998	263
950	5000	257
951	5002	252
952	5015	247
953	5044	243
954	5049	237
955	5051	232
956	5056	227
957	5058	221
958	5063	216
959	5079	211
960	5082	206
961	5083	200
962	5150	197
963	5165	192
964	5171	187
965	5173	182
966	5176	176
967	5178	171
968	5180	165
969	5182	160
970	5185	154
971	5187	149
972	5190	144
973	5192	138
974	5194	133
975	5195	127
976	5201	122
977	5217	117
978	5219	111
979	5220	106
980	5222	101
981	5224	95
982	5226	90
983	5257	85
984	5264	80
985	5266	74
986	5268	69
987	5270	64
988	5272	58
989	5290	53
990	5292	48
991	5296	42
992	5298	37
993	5303	32
994	5322	26
995	5324	21
996	5326	16
997	5329	10
998	5331	5
999	5332	0
