iter	RMSE
167	0.204083293
168	0.2030442664
169	0.2026988439
170	0.2023790852
171	0.2021024875
172	0.2014549813
173	0.2008650691
174	0.2003343542
175	0.1998261268
176	0.199294547
177	0.1990154099
178	0.1981435301
179	0.1976088298
180	0.1972622743
181	0.1968855899
182	0.1966131407
183	0.1961971449
184	0.1955447219
185	0.1951061498
186	0.1946408283
187	0.194532247
188	0.1941524401
189	0.1938581477
190	0.193202448
191	0.1927572113
192	0.192075722
193	0.1917836396
194	0.1916164309
195	0.1915012034
196	0.1913618552
197	0.1907509076
198	0.190198094
199	0.1900776045
200	0.1897641826
201	0.1896517843
202	0.1892858049
203	0.1890477148
204	0.1884677634
205	0.1877050078
206	0.1875186448
207	0.1872691688
208	0.1867346609
209	0.1865627557
210	0.1863095037
211	0.1861319033
212	0.1857555654
213	0.1856599925
214	0.1855693015
215	0.1852008252
216	0.1848810549
217	0.1841446705
218	0.1837656871
219	0.183469267
220	0.1827954259
221	0.1826476201
222	0.1823538919
223	0.1821853333
224	0.1816717845
225	0.1814701663
226	0.1814269988
227	0.1812486396
228	0.1812088364
229	0.1803266598
230	0.1801026979
231	0.1798647694
232	0.1797349617
233	0.1795423633
234	0.1793472637
235	0.1791828532
236	0.1786750289
237	0.1785640823
238	0.178406004
239	0.1779341772
240	0.1775821938
241	0.1768892549
242	0.1766992453
243	0.1760575627
244	0.175673881
245	0.174992027
246	0.1749150431
247	0.1748785322
248	0.1743118153
249	0.1742103711
250	0.1737600181
251	0.1735881028
252	0.1729024585
253	0.1726485656
254	0.1725059913
255	0.1722850135
256	0.1717267985
257	0.1715887526
258	0.1714468594
259	0.1713001588
260	0.1709854213
261	0.1706211507
262	0.1704803952
263	0.1703782166
264	0.1699154273
265	0.1698277287
266	0.169746075
267	0.1695933086
268	0.1692646547
269	0.169153749
270	0.1690472184
271	0.1690140206
272	0.1683468456
273	0.1681252838
274	0.1679060497
275	0.1674770512
276	0.1674226652
277	0.1667109703
278	0.1661777253
279	0.1660487127
280	0.1657610564
281	0.1653684915
282	0.1651538159
283	0.1646378707
284	0.1646065592
285	0.1645110297
286	0.1644608935
287	0.1637293653
288	0.1635024149
289	0.1631046358
290	0.1628018567
291	0.1626504398
292	0.1619513527
293	0.1618362477
294	0.1613772621
295	0.1612696758
296	0.1607655353
297	0.1603529037
298	0.1603172738
299	0.159637077
300	0.1591820074
301	0.1588549427
302	0.158457931
303	0.1580678426
304	0.157738474
305	0.1573923184
306	0.1573587011
307	0.1567072066
308	0.1565856265
309	0.156539235
310	0.156426104
311	0.1562791495
312	0.1557346306
313	0.1556632707
314	0.1555706586
315	0.1549224716
316	0.1545665938
317	0.154484832
318	0.1540847985
319	0.1540554544
320	0.1534485749
321	0.1528595351
322	0.1525628591
323	0.1522513772
324	0.1517290183
325	0.1513560164
326	0.1509351297
327	0.1500941783
328	0.1499911505
329	0.1499143413
330	0.1498050061
331	0.1492850018
332	0.1487654854
333	0.1482871808
334	0.1481488685
335	0.1476143107
336	0.1470041905
337	0.1466189485
338	0.1465670037
339	0.1464157415
340	0.1462641441
341	0.1458349665
342	0.1453280145
343	0.1450312179
344	0.1445197018
345	0.1441721373
346	0.1440150638
347	0.14386248
348	0.1432952055
349	0.1431460859
350	0.1430192913
351	0.1423024535
352	0.1421857629
353	0.1420678173
354	0.1416799072
355	0.1414257668
356	0.141317205
357	0.1408848483
358	0.1402716335
359	0.140243703
360	0.1400093704
361	0.1394162278
362	0.1390027713
363	0.1385954883
364	0.1382869591
365	0.1377477847
366	0.1370862138
367	0.1369613072
368	0.1365979592
369	0.1365402827
370	0.1364700914
371	0.1357511657
372	0.1352985746
373	0.1350525726
374	0.1346717235
375	0.1342048351
376	0.1338231627
377	0.1335331777
378	0.1329059755
379	0.1325943485
380	0.1320367436
381	0.131788916
382	0.1312781421
383	0.1308769581
384	0.1305525953
385	0.130480361
386	0.1301189712
387	0.1300087654
388	0.1298215362
389	0.129716162
390	0.1296577373
391	0.1295870688
392	0.1292897276
393	0.1291830117
394	0.1288925812
395	0.1285129749
396	0.1280402962
397	0.1276254656
398	0.1275431359
399	0.1274221525
400	0.1269166166
401	0.1268233164
402	0.1265956574
403	0.1262036903
404	0.1261703586
405	0.1257962598
406	0.125214102
407	0.1251450055
408	0.1250413005
409	0.1249629723
410	0.1247236124
411	0.1244502315
412	0.124279923
413	0.1241043152
414	0.1236549548
415	0.1234913455
416	0.1229194033
417	0.1227214842
418	0.1226223974
419	0.12227706
420	0.1220548404
421	0.1218901758
422	0.1216354829
423	0.1215406899
424	0.1213099842
425	0.1211629446
426	0.120849521
427	0.1206896109
428	0.1206556506
429	0.1204825027
430	0.1203915401
431	0.1198688387
432	0.1198161339
433	0.1197296427
434	0.1195771562
435	0.1191041943
436	0.1190528368
437	0.11878376
438	0.118593345
439	0.1183427877
440	0.1180576053
441	0.117690857
442	0.1174265956
443	0.1171641518
444	0.1170337863
445	0.1169146212
446	0.1168379067
447	0.1163345359
448	0.1162402903
449	0.1161303043
450	0.1156395981
451	0.1152252775
452	0.1148927666
453	0.1145956823
454	0.1141899517
455	0.1140433129
456	0.1137779438
457	0.1134153634
458	0.1130663259
459	0.1126832411
460	0.1122720056
461	0.112157396
462	0.1117742335
463	0.1114117233
464	0.1113659367
465	0.1111677613
466	0.1108881197
467	0.1107522369
468	0.1106702732
469	0.1105927304
470	0.1105594669
471	0.1104798447
472	0.1104212172
473	0.1102359427
474	0.1098678544
475	0.1094529089
476	0.1090730003
477	0.1088571003
478	0.1085668073
479	0.1082414575
480	0.1081032478
481	0.1079129231
482	0.1078716192
483	0.1078177859
484	0.1077136735
485	0.1073008714
486	0.1069067798
487	0.1067082025
488	0.1064703498
489	0.1062224164
490	0.1058030393
491	0.1054808072
492	0.1052497962
493	0.1051563882
494	0.1049470433
495	0.1048935625
496	0.1046492595
497	0.1044617165
498	0.1043406562
499	0.1042104733
500	0.1038802653
501	0.1034264375
502	0.1032262077
503	0.1028568848
504	0.1025589373
505	0.1022914167
506	0.1018548226
507	0.1017497429
508	0.1014414263
509	0.1010424657
510	0.1006473642
511	0.1004331563
512	0.1001232988
513	0.1000524093
514	0.1000004884
515	0.09991241157
516	0.0998706583
517	0.09969423527
518	0.09933892497
519	0.09916730807
520	0.09883992992
521	0.09852598793
522	0.09819419939
523	0.09807619743
524	0.0979062895
525	0.0976648086
526	0.09746866844
527	0.09694304883
528	0.09649060954
529	0.09643719573
530	0.09632714581
531	0.09600422745
532	0.09563417664
533	0.09557111218
534	0.09545833854
535	0.09533992098
536	0.09516417416
537	0.09485192889
538	0.09468410557
539	0.09431010676
540	0.09396388378
541	0.09373035243
542	0.09340627552
543	0.09324386423
544	0.09296271964
545	0.09289864556
546	0.09260159166
547	0.09229685421
548	0.09220959157
549	0.09219483831
550	0.09176120176
551	0.09148512757
552	0.09127392652
553	0.09101978642
554	0.09079286794
555	0.09055906695
556	0.0903651932
557	0.09013748014
558	0.09007643327
559	0.08993945061
560	0.08956282015
561	0.08941597299
562	0.08926737907
563	0.08906122883
564	0.088790098
565	0.08874267666
566	0.08862424639
567	0.08838720568
568	0.08824063338
569	0.08816107838
570	0.08810573483
571	0.08796050222
572	0.08762397289
573	0.08752267418
574	0.08730435211
575	0.08717158412
576	0.08713708054
577	0.08699175888
578	0.08692615091
579	0.08673064991
580	0.08645935312
581	0.08627940433
582	0.08619560381
583	0.08610846147
584	0.08586466703
585	0.08565955293
586	0.0855315673
587	0.08548228531
588	0.08544157907
589	0.08519002811
590	0.08505150175
591	0.08496457189
592	0.08475624428
593	0.08471677389
594	0.08444903573
595	0.08438764096
596	0.08412794594
597	0.08386458173
598	0.08356894283
599	0.08344462309
600	0.0832758192
601	0.08302312267
602	0.0826207595
603	0.08241347141
604	0.08217202736
605	0.08187237665
606	0.08159437798
607	0.08149137132
608	0.08125517293
609	0.08102013002
610	0.08097710201
611	0.08078986826
612	0.0805307198
613	0.08029516432
614	0.080240626
615	0.07994952719
616	0.07969342382
617	0.07956393704
618	0.07950845184
619	0.07924590882
620	0.07897361378
621	0.07873338982
622	0.07847235979
623	0.07824101105
624	0.07816413309
625	0.07800561075
626	0.0776618995
627	0.07746838329
628	0.07726433772
629	0.07722765773
630	0.07701358845
631	0.07680001888
632	0.076738476
633	0.07655314866
634	0.07628849107
635	0.0762376
636	0.07620357045
637	0.07595948561
638	0.07586881501
639	0.07577074
640	0.07550256158
641	0.07526371343
642	0.07503996647
643	0.07479325019
644	0.07460788442
645	0.07433465651
646	0.07421779132
647	0.07400266041
648	0.07395154386
649	0.07384592566
650	0.07373317424
651	0.0736642529
652	0.07345949314
653	0.07341360468
654	0.07326054165
655	0.07311447638
656	0.07292718802
657	0.07283881526
658	0.07275169388
659	0.0724721146
660	0.07239458219
661	0.07226763907
662	0.07208917617
663	0.07202642716
664	0.07191037938
665	0.07170869197
666	0.07150708851
667	0.07146327349
668	0.07127297145
669	0.07124187806
670	0.0710637186
671	0.07100301763
672	0.07070164545
673	0.07050350285
674	0.07022314753
675	0.07009736693
676	0.07003665474
677	0.06993001196
678	0.06973166693
679	0.06959479917
680	0.06936736593
681	0.06929526725
682	0.0691481911
683	0.06897481873
684	0.06874563882
685	0.06858191781
686	0.06851172244
687	0.06836522201
688	0.06813033165
689	0.06792444354
690	0.06771477166
691	0.06759645418
692	0.06752950104
693	0.06749979769
694	0.06725585862
695	0.06721099783
696	0.0670529484
697	0.06685593658
698	0.06674323094
699	0.06669520143
700	0.06655869686
701	0.06645750441
702	0.0664201452
703	0.06624982124
704	0.06610911751
705	0.06589574423
706	0.06574321222
707	0.06560292878
708	0.06551330152
709	0.06536291266
710	0.06512983583
711	0.06484283566
712	0.06473482776
713	0.06455314232
714	0.06446215591
715	0.0644341095
716	0.06427400169
717	0.06424137214
718	0.06413076779
719	0.06404128627
720	0.06389326075
721	0.06373601468
722	0.06353563926
723	0.06348403651
724	0.06346179933
725	0.06332393518
726	0.06328050412
727	0.06327512321
728	0.06320706426
729	0.06318104051
730	0.0630223764
731	0.06297190664
732	0.06283291957
733	0.06276134285
734	0.06270168293
735	0.06253957744
736	0.06230157304
737	0.06218714084
738	0.06200848807
739	0.06172496444
740	0.06157829076
741	0.06139362316
742	0.06129764528
743	0.0611292383
744	0.06095716429
745	0.06092334609
746	0.06077451245
747	0.06058081252
748	0.06049601238
749	0.06030642027
750	0.06018028322
751	0.06013020883
752	0.06006491067
753	0.05987356004
754	0.05976131845
755	0.05961906543
756	0.05951458692
757	0.05926575137
758	0.05923625734
759	0.05900758408
760	0.0588603164
761	0.05868240661
762	0.05865164284
763	0.05850238033
764	0.05830682726
765	0.05816775504
766	0.05799578197
767	0.05797129438
768	0.05774687317
769	0.05755896943
770	0.05744194162
771	0.05726211443
772	0.05713726424
773	0.0569556968
774	0.05680134769
775	0.05668048998
776	0.05660299428
777	0.05642198108
778	0.05626171717
779	0.05602034592
780	0.05585860948
781	0.05572592507
782	0.05551189302
783	0.05547667076
784	0.05533519382
785	0.05525143326
786	0.05508380286
787	0.05492804912
788	0.05478783844
789	0.05476409932
790	0.0545992642
791	0.05441469397
792	0.05436701098
793	0.05428698275
794	0.05411022001
795	0.05400035804
796	0.05383136909
797	0.05365994819
798	0.05365552134
799	0.05342305265
800	0.05326524908
801	0.05316751814
802	0.05308405025
803	0.05289634803
804	0.05265164381
805	0.05253438879
806	0.05247807186
807	0.05244689834
808	0.05240835676
809	0.05221724146
810	0.05214248155
811	0.05210433171
812	0.05198032311
813	0.05183795765
814	0.05179906976
815	0.05177150665
816	0.05160031453
817	0.0515785548
818	0.05143772412
819	0.05128381169
820	0.05123135059
821	0.05102444707
822	0.0509879656
823	0.05093405449
824	0.05091225898
825	0.05086575122
826	0.050848273
827	0.05079679837
828	0.05073960523
829	0.05065270221
830	0.05052385938
831	0.05041036104
832	0.05035045846
833	0.05025423555
834	0.0501796791
835	0.05010090648
836	0.04988931453
837	0.04982821114
838	0.04971267565
839	0.04966876443
840	0.04951142138
841	0.04938162054
842	0.04934666683
843	0.04923367674
844	0.04916397392
845	0.04903181131
846	0.04898652064
847	0.04890668635
848	0.04885482866
849	0.04882937481
850	0.04872313745
851	0.04852310061
852	0.04845842974
853	0.0482469687
854	0.04809599471
855	0.04790259173
856	0.04779448902
857	0.04773264447
858	0.04771255242
859	0.04765139255
860	0.04750001621
861	0.04729684605
862	0.04724103559
863	0.04712913847
864	0.04710948456
865	0.04707615352
866	0.04707249469
867	0.04702982522
868	0.0469144226
869	0.04686123319
870	0.04677722208
871	0.04673007458
872	0.04659246913
873	0.04641548859
874	0.04636284769
875	0.04625351884
876	0.0460708202
877	0.04601772275
878	0.04592673339
879	0.0457674272
880	0.04567983083
881	0.04556504626
882	0.0454129265
883	0.04538760611
884	0.04523425594
885	0.04515932417
886	0.04505556714
887	0.04498739346
888	0.04489675939
889	0.04485286025
890	0.04473950137
891	0.04470215195
892	0.0446643966
893	0.04461748082
894	0.04459002313
895	0.04441294976
896	0.04439164478
897	0.04437838192
898	0.04427180486
899	0.04423894084
900	0.04407497801
901	0.04394148249
902	0.04391482474
903	0.04375821312
904	0.04373703733
905	0.04367213195
906	0.04362995366
907	0.04361217062
908	0.043525534
909	0.04350562565
910	0.04346540016
911	0.04329692184
912	0.04320791703
913	0.04308058677
914	0.04293858925
915	0.04279652133
916	0.04267373742
917	0.04262831263
918	0.04257849101
919	0.04254383358
920	0.04242344229
921	0.04229117828
922	0.04216883041
923	0.04202773068
924	0.04201882052
925	0.04185947521
926	0.04177812792
927	0.04176227008
928	0.04173541266
929	0.04160532027
930	0.04153011237
931	0.0414495474
932	0.04136972658
933	0.04126996322
934	0.04125109085
935	0.04118531414
936	0.041159823
937	0.04096865039
938	0.04087112052
939	0.0408067499
940	0.04068722118
941	0.0406032582
942	0.04052922093
943	0.04048586223
944	0.04043303845
945	0.04039656408
946	0.04036041578
947	0.04025199254
948	0.04020979588
949	0.04008030031
950	0.0400502323
951	0.03997970814
952	0.03989884983
953	0.03984796087
954	0.03972477704
955	0.03960313347
956	0.03946532093
957	0.03930190478
958	0.03921652679
959	0.03907664786
960	0.03904325724
961	0.03898854005
962	0.03884822062
963	0.03876026469
964	0.03870275717
965	0.03866730888
966	0.03863341861
967	0.03854986787
968	0.03846419871
969	0.03836521442
970	0.03834288573
971	0.03818749646
972	0.0381469092
973	0.03798388655
974	0.03788662759
975	0.03783772969
976	0.03780015835
977	0.03770075363
978	0.03762317956
979	0.03756983974
980	0.03747430908
981	0.03746650656
982	0.03739831361
983	0.03735636865
984	0.0373012874
985	0.03724924577
986	0.0372411516
987	0.0372290712
988	0.03716834176
989	0.03707431644
990	0.03698552849
991	0.0369030112
992	0.03679993601
993	0.03675892499
994	0.03662743604
995	0.03661509142
996	0.03658070385
997	0.03652146953
998	0.03650733217
999	0.03641921152
